ID,Country,Latitude,Longitude,ground_surface_elevation_m,parameter_type,unit,unique_well_id
10000078,AUS,-33.4370859,148.2229741,,Water depth [from the ground surface],m,AUS_10000078
10000099,AUS,-31.5198145,150.6525268,,Water depth [from the ground surface],m,AUS_10000099
10000155,AUS,-35.9558106,145.9646528,,Water depth [from the ground surface],m,AUS_10000155
10000244,AUS,-33.4920943,148.3109984,,Water depth [from the ground surface],m,AUS_10000244
10000519,AUS,-29.9317696,148.824763,,Water depth [from the ground surface],m,AUS_10000519
10000771,AUS,-29.8159357,148.9530936,,Water depth [from the ground surface],m,AUS_10000771
10000921,AUS,-29.842047,148.9128166,,Water depth [from the ground surface],m,AUS_10000921
10001064,AUS,-29.7895469,148.9405937,,Water depth [from the ground surface],m,AUS_10001064
10001100,AUS,-29.9317696,148.824763,,Water depth [from the ground surface],m,AUS_10001100
10001180,AUS,-33.4920943,148.3109984,,Water depth [from the ground surface],m,AUS_10001180
10001418,AUS,-33.9656833,141.1326416,,Water depth [from the ground surface],m,AUS_10001418
10001555,AUS,-33.9557138,141.3686861,,Water depth [from the ground surface],m,AUS_10001555
10001570,AUS,-31.0462042,150.4353021,,Water depth [from the ground surface],m,AUS_10001570
10001982,AUS,-33.4920943,148.3109984,,Water depth [from the ground surface],m,AUS_10001982
10002138,AUS,-31.3337044,150.4589167,,Water depth [from the ground surface],m,AUS_10002138
10002241,AUS,-33.4415415,147.4806135,,Water depth [from the ground surface],m,AUS_10002241
10002402,AUS,-31.0462042,150.4353021,,Water depth [from the ground surface],m,AUS_10002402
10002977,AUS,-34.6736023,145.6226968,,Water depth [from the ground surface],m,AUS_10002977
10002978,AUS,-33.93115,151.2001167,,Water depth [from the ground surface],m,AUS_10002978
10002982,AUS,-35.6198,145.0515,,Water depth [from the ground surface],m,AUS_10002982
10002987,AUS,-29.397496,149.4458504,,Water depth [from the ground surface],m,AUS_10002987
10003040,AUS,-33.2153195,145.4939845,,Water depth [from the ground surface],m,AUS_10003040
10003067,AUS,-30.210375,149.5386417,,Water depth [from the ground surface],m,AUS_10003067
10003068,AUS,-30.46037,149.980303,,Water depth [from the ground surface],m,AUS_10003068
10003069,AUS,-29.9878854,148.7419863,,Water depth [from the ground surface],m,AUS_10003069
10003094,AUS,-29.3947184,149.8191712,,Water depth [from the ground surface],m,AUS_10003094
10003102,AUS,-31.454827,148.46034,,Water depth [from the ground surface],m,AUS_10003102
10003124,AUS,-32.0953,150.1338,,Water depth [from the ground surface],m,AUS_10003124
10003128,AUS,-28.7251988,150.5527303,,Water depth [from the ground surface],m,AUS_10003128
10003143,AUS,-29.9878854,148.7419863,,Water depth [from the ground surface],m,AUS_10003143
10003159,AUS,-34.5273224,146.1739232,,Water depth [from the ground surface],m,AUS_10003159
10003164,AUS,-30.1741,145.8021,,Water depth [from the ground surface],m,AUS_10003164
10003247,AUS,-33.5384003,145.3301533,,Water depth [from the ground surface],m,AUS_10003247
10003248,AUS,-30.668704,150.0541951,,Water depth [from the ground surface],m,AUS_10003248
10003305,AUS,-31.4585933,150.5908693,,Water depth [from the ground surface],m,AUS_10003305
10003370,AUS,-32.1609255,150.8735054,,Water depth [from the ground surface],m,AUS_10003370
10003413,AUS,-33.2152692,145.347917,,Water depth [from the ground surface],m,AUS_10003413
10003443,AUS,-30.8275936,150.3797453,,Water depth [from the ground surface],m,AUS_10003443
10003496,AUS,-29.397496,149.4458504,,Water depth [from the ground surface],m,AUS_10003496
10003497,AUS,-32.3988856,150.6141823,,Water depth [from the ground surface],m,AUS_10003497
10003501,AUS,-35.0996941,147.3720214,,Water depth [from the ground surface],m,AUS_10003501
10003519,AUS,-33.897508,151.218447,,Water depth [from the ground surface],m,AUS_10003519
10003562,AUS,-30.210375,149.5386417,,Water depth [from the ground surface],m,AUS_10003562
10003594,AUS,-30.1636098,149.600297,,Water depth [from the ground surface],m,AUS_10003594
10003595,AUS,-34.9665421,145.397384,,Water depth [from the ground surface],m,AUS_10003595
10003601,AUS,-32.0705472,148.0359001,,Water depth [from the ground surface],m,AUS_10003601
10003625,AUS,-31.3884269,150.458362,,Water depth [from the ground surface],m,AUS_10003625
10003664,AUS,-32.6,149.6209,,Water depth [from the ground surface],m,AUS_10003664
10003672,AUS,-33.2991,151.2475,,Water depth [from the ground surface],m,AUS_10003672
10003673,AUS,-32.1534,150.0389,,Water depth [from the ground surface],m,AUS_10003673
10003866,AUS,-32.7511,151.1028,,Water depth [from the ground surface],m,AUS_10003866
10003870,AUS,-31.2302,150.4631,,Water depth [from the ground surface],m,AUS_10003870
10003944,AUS,-29.4181499,149.9989045,,Water depth [from the ground surface],m,AUS_10003944
10003946,AUS,-30.123,149.5572,,Water depth [from the ground surface],m,AUS_10003946
10003981,AUS,-33.5384003,145.3301533,,Water depth [from the ground surface],m,AUS_10003981
10004009,AUS,-31.3884269,150.458362,,Water depth [from the ground surface],m,AUS_10004009
10004111,AUS,-31.4585933,150.5908693,,Water depth [from the ground surface],m,AUS_10004111
10004116,AUS,-32.0705472,148.0359001,,Water depth [from the ground surface],m,AUS_10004116
10004117,AUS,-30.2364,145.7081,,Water depth [from the ground surface],m,AUS_10004117
10004119,AUS,-33.12306,150.2796,,Water depth [from the ground surface],m,AUS_10004119
10004128,AUS,-33.9669333,151.2283333,,Water depth [from the ground surface],m,AUS_10004128
10004168,AUS,-30.5597,145.1136,,Water depth [from the ground surface],m,AUS_10004168
10004213,AUS,-32.6542849,151.0229249,,Water depth [from the ground surface],m,AUS_10004213
10004234,AUS,-30.039,149.3184,,Water depth [from the ground surface],m,AUS_10004234
10004315,AUS,-30.2628,145.6792,,Water depth [from the ground surface],m,AUS_10004315
10004418,AUS,-34.431564,145.8173495,,Water depth [from the ground surface],m,AUS_10004418
10004419,AUS,-33.7927,148.5919,,Water depth [from the ground surface],m,AUS_10004419
10004421,AUS,-30.2628,145.6792,,Water depth [from the ground surface],m,AUS_10004421
10004455,AUS,-32.2935,147.8924,,Water depth [from the ground surface],m,AUS_10004455
10004475,AUS,-30.8095,150.1179,,Water depth [from the ground surface],m,AUS_10004475
10004476,AUS,-31.0111033,149.8602945,,Water depth [from the ground surface],m,AUS_10004476
10004560,AUS,-31.543026,150.65917,,Water depth [from the ground surface],m,AUS_10004560
10004659,AUS,-29.9776,149.3161417,,Water depth [from the ground surface],m,AUS_10004659
10004660,AUS,-33.2885837,145.8487692,,Water depth [from the ground surface],m,AUS_10004660
10004662,AUS,-34.6194623,145.3953613,,Water depth [from the ground surface],m,AUS_10004662
10004663,AUS,-34.431564,145.8173495,,Water depth [from the ground surface],m,AUS_10004663
10004665,AUS,-35.8116242,144.8309476,,Water depth [from the ground surface],m,AUS_10004665
10004666,AUS,-33.7657,147.4806,,Water depth [from the ground surface],m,AUS_10004666
10004669,AUS,-31.8677508,152.6689546,,Water depth [from the ground surface],m,AUS_10004669
10004671,AUS,-35.1299576,145.5288136,,Water depth [from the ground surface],m,AUS_10004671
10004739,AUS,-33.5752144,148.6726699,,Water depth [from the ground surface],m,AUS_10004739
10004813,AUS,-31.9711776,150.8638032,,Water depth [from the ground surface],m,AUS_10004813
10004861,AUS,-28.8244,153.4405,,Water depth [from the ground surface],m,AUS_10004861
10004924,AUS,-34.5479089,145.7269403,,Water depth [from the ground surface],m,AUS_10004924
10004940,AUS,-33.3748882,145.5656662,,Water depth [from the ground surface],m,AUS_10004940
10004941,AUS,-29.9405509,149.3204167,,Water depth [from the ground surface],m,AUS_10004941
10004995,AUS,-33.3670013,145.1790051,,Water depth [from the ground surface],m,AUS_10004995
10005013,AUS,-30.1741617,149.1269766,,Water depth [from the ground surface],m,AUS_10005013
10005016,AUS,-29.8326022,148.9905912,,Water depth [from the ground surface],m,AUS_10005016
10005024,AUS,-30.2245433,149.5353094,,Water depth [from the ground surface],m,AUS_10005024
10005025,AUS,-30.2245433,149.5353094,,Water depth [from the ground surface],m,AUS_10005025
10005049,AUS,-33.3875,148.1376,,Water depth [from the ground surface],m,AUS_10005049
10005078,AUS,-30.1373211,149.5544751,,Water depth [from the ground surface],m,AUS_10005078
10005149,AUS,-28.8637,153.4338,,Water depth [from the ground surface],m,AUS_10005149
10005183,AUS,-30.9133,150.2944,,Water depth [from the ground surface],m,AUS_10005183
10005207,AUS,-35.5221929,145.4493687,,Water depth [from the ground surface],m,AUS_10005207
10005208,AUS,-34.4785757,145.5689289,,Water depth [from the ground surface],m,AUS_10005208
10005234,AUS,-28.8897814,150.6582173,,Water depth [from the ground surface],m,AUS_10005234
10005240,AUS,-34.452593,145.9676598,,Water depth [from the ground surface],m,AUS_10005240
10005241,AUS,-32.0469402,148.1547887,,Water depth [from the ground surface],m,AUS_10005241
10005254,AUS,-35.4447514,145.4915427,,Water depth [from the ground surface],m,AUS_10005254
10005258,AUS,-32.1941483,148.2453513,,Water depth [from the ground surface],m,AUS_10005258
10005279,AUS,-35.029312,145.5936268,,Water depth [from the ground surface],m,AUS_10005279
10005321,AUS,-32.2118093,148.3748956,,Water depth [from the ground surface],m,AUS_10005321
10005355,AUS,-32.2376337,148.3081064,,Water depth [from the ground surface],m,AUS_10005355
10005356,AUS,-31.9955412,149.3911839,,Water depth [from the ground surface],m,AUS_10005356
10005407,AUS,-30.3834299,149.8872489,,Water depth [from the ground surface],m,AUS_10005407
10005469,AUS,-33.4749506,145.5295827,,Water depth [from the ground surface],m,AUS_10005469
10005477,AUS,-35.029312,145.5936268,,Water depth [from the ground surface],m,AUS_10005477
10005478,AUS,-32.3302,147.913,,Water depth [from the ground surface],m,AUS_10005478
10005726,AUS,-31.3184,150.4615,,Water depth [from the ground surface],m,AUS_10005726
10005742,AUS,-30.0342306,149.1539244,,Water depth [from the ground surface],m,AUS_10005742
10005803,AUS,-31.3595379,150.4533616,,Water depth [from the ground surface],m,AUS_10005803
10005931,AUS,-33.5188638,145.5297767,,Water depth [from the ground surface],m,AUS_10005931
10005975,AUS,-35.2691509,145.2313847,,Water depth [from the ground surface],m,AUS_10005975
10005976,AUS,-29.2863895,149.6786229,,Water depth [from the ground surface],m,AUS_10005976
10006019,AUS,-34.4895404,145.3144274,,Water depth [from the ground surface],m,AUS_10006019
10006026,AUS,-31.4475,143.9084,,Water depth [from the ground surface],m,AUS_10006026
10006033,AUS,-35.5702,144.7558,,Water depth [from the ground surface],m,AUS_10006033
10006040,AUS,-35.27369,144.53366,,Water depth [from the ground surface],m,AUS_10006040
10006102,AUS,-30.2025988,149.5436425,,Water depth [from the ground surface],m,AUS_10006102
10006108,AUS,-35.6446,149.8126,,Water depth [from the ground surface],m,AUS_10006108
10006145,AUS,-31.0646,151.0561,,Water depth [from the ground surface],m,AUS_10006145
10006172,AUS,-31.543026,150.65917,,Water depth [from the ground surface],m,AUS_10006172
10006173,AUS,-32.2719,147.9261,,Water depth [from the ground surface],m,AUS_10006173
10006174,AUS,-32.0927937,150.123746,,Water depth [from the ground surface],m,AUS_10006174
10006231,AUS,-31.071066,150.374153,,Water depth [from the ground surface],m,AUS_10006231
10006232,AUS,-34.4046551,145.9719808,,Water depth [from the ground surface],m,AUS_10006232
10006271,AUS,-30.2831528,149.4811417,,Water depth [from the ground surface],m,AUS_10006271
10006283,AUS,-30.0229,149.4815,,Water depth [from the ground surface],m,AUS_10006283
10006284,AUS,-31.422079,150.488361,,Water depth [from the ground surface],m,AUS_10006284
