GRACE pixel latitude (deg),GRACE pixel longitude (deg),Number of lakes in pixel,HydroLAKES IDs,Lake names,Country,Total lake area (km2),Lake record completeness (%),Lake std as % of GRACE std,Residual lake storage std (cm WE),Residual GRACE TWSA std (cm WE),Residual lake std as % of GRACE,Lake trend (cm/yr),GRACE trend (cm/yr),Overlap months,GRACE window (deg),GRACE window area (km2),Cumulative EPE precipitation (cm),Cumulative GRACE residual response (cm),Cumulative uncertainty (cm),Relative uncertainty (% of response),Recharge efficiency (%),RE cell ID,lake_std_c,grace_std_
41.5,61.5,6,"=""1308,172470,172440,172461,172491,172496""",No Name; No Name; No Name; No Name; No Name; No Name,Multiple,430.3,59.56,414.62,7.12,1.56,455.01,-0.2,0.03,231,1,9281.2,76.57,8.47,3.63,42.9,11.06,P00092_00182,7.42,1.79
37.5,-110.5,4,"=""799,9286,9285,9281""",No Name; No Name; No Name; No Name,United States of America,187.9,71.61,358.1,12.7,2.59,491.44,-0.97,-0.28,230,1,9831.4,140.22,10.24,1.27,12.37,7.31,P00088_00010,14.67,4.1
-30.5,25.5,1,"=""1678""",Hendrik Verwoerd,South Africa,294.4,76.36,249.13,7.48,2.81,266.04,0.2,0.28,230,1,10677.4,311.57,16.75,2.67,15.93,5.38,P00020_00146,8.17,3.28
45.5,100.5,2,"=""1288,170778""",Orog; No Name,Mongolia,119.2,51.36,130.2,1.34,0.88,152.17,0.1,-0.11,217,1,8685.8,99.62,1.58,0.91,57.14,1.59,P00096_00221,1.47,1.13
42.5,-106.5,3,"=""9117,9127,111158""",Pathfinder; Seminoe; No Name,United States of America,134.9,50.0,128.49,4.91,2.97,165.33,0.59,-0.12,230,1,9136.4,163.93,14.3,2.35,16.42,8.73,P00093_00014,6.13,4.77
31.5,61.5,4,"=""1435,15190,175519,175579""",Hamun-E Saberi; No Name; No Name; No Name,Multiple,594.8,57.66,127.11,6.22,1.47,423.79,-0.23,-0.97,230,1,10566.0,63.22,6.64,1.39,20.96,10.5,P00082_00182,7.22,5.68
37.5,-111.5,2,"=""802,112734""",Lake Powell; No Name,United States of America,123.9,68.22,125.95,4.47,2.76,161.62,-0.39,-0.38,231,1,9831.4,120.5,11.75,2.13,18.11,9.75,P00088_00009,5.48,4.35
31.5,83.5,5,"=""1431,1442,15160,175564,175609""",Ngangla Ringco; Jen-ch'ing hsiu-pu-ts'o; No Name; No Name; No Name,China,754.2,60.39,122.5,3.54,2.83,125.07,0.3,0.11,230,1,10566.0,166.07,5.13,2.78,54.26,3.09,P00082_00204,4.41,3.6
29.5,-101.5,1,"=""848""",Amistad Reservoir,Mexico,131.5,88.37,114.78,3.38,2.93,115.58,-0.76,-0.79,231,1,10785.6,265.0,8.31,1.67,20.15,3.14,P00080_00019,6.01,5.24
39.5,78.5,3,"=""1325,14572,14579""",Xiaoxihaiz Shuiku; No Name; No Name,China,152.8,53.23,102.04,1.46,1.18,124.04,-0.01,-0.33,230,1,9562.1,54.17,1.5,0.76,50.71,2.77,P00090_00199,2.24,2.2
